年份,公告批次,公告标题,报名开始,报名截止,笔试时间,笔试形式,笔试内容,综合知识占比,专业知识占比,志愿限制,招聘对象变化,投递规则变化,招聘流程变化,环境工程相关岗位变化,与上一年比主要变化,原文链接,备注
2026,秋招,南方电网2026年秋季校园招聘公告,2025年10月,2025年11月2日,2025年12月上旬,机考闭卷,综合+专业,60%,40%,最多3家二级单位,限2026届,提交不能修改,秋招+春招两批,碳管理/综合能源/新能源方向增加，传统环保岗位减少,综合占比从40%升至60%，专业知识占比降至40%,zhaopin.csg.cn,最大变化年
2026,春招,南方电网2026年春季校园招聘公告,2026年3月,2026年3月23日,南网通知,机考闭卷,综合+专业,60%,40%,最多3家,2026届+秋招未被录用者,已参加秋招可不重复面试,已参加秋招不重复面试,同秋招,秋招成绩有效不重复面试,zhaopin.csg.cn,
2025,秋招,南方电网2025年秋季校园招聘公告,2024年10月14日,2024年10月27-31日,2024年11月下旬,机考闭卷,综合+专业,40%,60%,最多3家(仅1次撤回),限2025届,仅1次撤回机会,秋招+春招两批,"环保岗位并入""新兴业务类""",新增撤回限制；秋招报名期明确约2周,zhaopin.csg.cn,
2025,春招,南方电网2025年春季校园招聘公告,2025年3月,2025年3月21日,2025年4月中旬,机考闭卷,综合+专业,40%,60%,最多3家,已参加秋招需重考,不沿用上年笔试成绩,不沿用秋招笔试,同秋招,不沿用上年笔试成绩,zhaopin.csg.cn,重大规则变化
2024,秋招,南方电网2024年秋季校园招聘公告,2023年10月29日,各单位不同,2023年12月上旬,机考闭卷,综合+专业,40%,60%,最多3家(提交不能修改),限2024届,提交后不能修改,秋招+春招两批,"环保岗位列入""其他工学类""",笔试调整至12月上旬；新增APP渠道,zhaopin.csg.cn,
2024,春招,南方电网2024年春季校园招聘公告,2024年3月,各单位不同,2024年4月中旬,机考闭卷,综合+专业,40%,60%,最多3家,2024届+秋招未上岸者,,沿用秋招成绩,同秋招,,zhaopin.csg.cn,
2023,秋招,南方电网2023年秋季校园招聘公告,2022年10月10日,各单位不同,2022年11月20日/2023年3月,机考闭卷,综合+专业,40%,60%,最多3家(不能修改),限2023届,提交不能修改,秋招+春招两批,"有多家单位设独立""工程环保""岗位",专业知识占比从70%降至60%，综合从30%升至40%,zhaopin.csg.cn,分数占比调整年
2023,春招,南方电网2023年春季校园招聘公告,2023年2月,2023年2-3月,2023年3月19日,机考闭卷,综合+专业,40%,60%,最多3家,尚未落实就业的2023届,,沿用秋招成绩,同秋招,,zhaopin.csg.cn,
2022,秋招,南方电网2022年秋季校园招聘公告,2021年10月13日,各单位不同,2021年11月21日/2022年3月,机考闭卷,综合+专业,30%,70%,最多3家,2022届+毕业两年内未就业者,提交不能修改,秋招+夏招(7月),"多家单位设""环境工程""独立岗位",,zhaopin.csg.cn,专业占比最高的年份
2022,夏招,南方电网2022年夏季校园招聘公告,2022年7月,2022年7月,2022年7月20日,机考闭卷,综合+专业,30%,70%,最多3家,尚未落实就业的2022届,,仅此一年有夏招批次,同秋招,2023年取消夏招,zhaopin.csg.cn,仅2022年有夏招
