序号,年份,批次,招聘单位,公告标题,发布时间,报名开始时间,报名截止时间,招聘对象,可申报单位数量限制,可申报岗位数量限制,志愿修改/撤回规则,申请材料,招聘流程,资格审查说明,笔试时间,笔试形式,笔试内容,分数占比,专业知识试卷类别说明,面试安排,录用/公示说明,联系方式,附件名称,附件链接,原文来源,是否涉及环境相关岗位,命中的环境关键词,命中原文片段,备注
1,2026,春季,中国南方电网有限责任公司,中国南方电网有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
2,2026,春季,广西电网有限责任公司,广西电网有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
3,2026,春季,贵州电网有限责任公司,贵州电网有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
4,2026,春季,南方电网储能股份有限公司,南方电网储能股份有限公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,是,储能,,注意：标题级关键词命中，需查看完整公告确认岗位
5,2026,春季,中国南方电网有限责任公司超高压输电公司,中国南方电网有限责任公司超高压输电公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
6,2026,春季,南方电网数字电网集团有限公司,南方电网数字电网集团有限公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
7,2026,春季,南方电网科学研究院有限责任公司,南方电网科学研究院有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
8,2026,春季,海南电网有限责任公司,海南电网有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
9,2026,春季,云南电网有限责任公司,云南电网有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
10,2026,春季,南方电网新型电力系统（北京）研究院有限公司,南方电网新型电力系统（北京）研究院有限公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
